accession,decision,reason,title,organism,geo_study_type
GSE4588,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,Identification of genes specifically over-expressed in lupus CD4 T and B cells,Homo sapiens,Expression profiling by array
GSE10325,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,Expression data from human peripheral blood subsets,Homo sapiens,Expression profiling by array
GSE11907,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,A Modular Analysis Framework for Blood Genomics Studies: Application to Systemic Lupus Erythematosus,Homo sapiens,Expression profiling by array
GSE11908,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,Construction of a modular analysis framework for blood Genomics Studies,Homo sapiens,Expression profiling by array
GSE11909,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,A modular analysis framework for the discovery of biomarkers of Systemic Lupus Erythematosus,Homo sapiens,Expression profiling by array
GSE12374,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,Interactions of cytokines in peripheral blood cells from Systemic Lupus Erythematosus,Homo sapiens,Expression profiling by array
GSE13887,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,Activation of mTOR controls the loss of TCRζ in lupus T cells through HRES-1/Rab4-regulated lysosomal degradation,Homo sapiens,Expression profiling by array
GSE17755,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,Human peripheral blood cells: autoimmune diseases vs. healthy individuals,Homo sapiens,Expression profiling by array
GSE20864,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,Human peripheral blood cells: systemic lupus erythematosus vs healthy individual.,Homo sapiens,Expression profiling by array
GSE22098,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,Whole blood transcriptional profiles of patients with active tuberculosis (TB) and other inflammatory and infectious diseases,Homo sapiens,Expression profiling by array
GSE24706,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,Gene Expression profiling of human PBMCs with different ANA titer,Homo sapiens,Expression profiling by array
GSE27427,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,Transcriptional profiles of pediatric SLE neutrophils and Healthy neutrophils cultured with SLE sera or Interferon,Homo sapiens,Expression profiling by array
GSE29536,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,Whole Blood Transcriptional Modules generated on Illumina Hu-6 V2 Beadchips,Homo sapiens,Expression profiling by array
GSE30153,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,B cell signature during inactive systemic lupus,Homo sapiens,Expression profiling by array
GSE32591,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,Expression data from human with lupus nephritis (LN),Homo sapiens,Expression profiling by array
GSE36700,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,Gene expression profiles in synovial biopsies from patients with arthritis,Homo sapiens,Expression profiling by array
GSE36941,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,Restoration of regulatory and effector T cell balance and B cell homeostasis in systemic lupus erythematosus patients through vitamin D supplementation,Homo sapiens,Expression profiling by array
GSE37356,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,Inflammatory Expression Profiles in Monocyte to Macrophage Differentiation amongst Patients with Systemic Lupus Erythematosus and Healthy Controls with and without an Atherosclerosis Phenotype,Homo sapiens,Expression profiling by array
GSE39088,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,Down-regulation of Interferon signature in systemic lupus erythematosus patients by active immunization with Interferon alpha-Kinoid,Homo sapiens,Expression profiling by array
GSE45291,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,Inhibition of Lymphotoxin-LIGHT Signaling Reduces the Interferon Signature in Rheumatoid Arthritis Patients,Homo sapiens,Expression profiling by array
GSE49454,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,Modular repertoire analyses identify dynamic type I and type II interferon transcriptional signatures in adult SLE patients,Homo sapiens,Expression profiling by array
GSE50635,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,"Activation of the Interferon Pathway is Dependent upon Autoantibodies in African-American SLE Patients, but not in European-American SLE Patients",Homo sapiens,Expression profiling by array
GSE50772,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,Expression data in PBMCs from SLE patients and controls,Homo sapiens,Expression profiling by array
GSE60681,excluded,未确认 SLE/狼疮性肾炎疾病语境,LASSIM -a network inference toolbox for genome-wide mechanistic modeling [Time-series polarization: CD4+ T cells toward Th2],Homo sapiens,Expression profiling by array
GSE61635,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,Gene expression in RNP autoantibody+ systemic lupus erythematosus (SLE) patient blood,Homo sapiens,Expression profiling by array
GSE62764,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,Genome-wide peripheral blood transcriptome analysis of Arab female Lupus and Lupus nephritis,Homo sapiens,Expression profiling by array
GSE65391,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,Longitudinal transcriptional pediatric SLE study with clinical parameters,Homo sapiens,Expression profiling by array
GSE69438,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,Tissue Transcriptome Driven Identification of Epidermal Growth Factor as a Chronic Kidney Disease Biomarker,Homo sapiens,Expression profiling by array
GSE72326,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,Modular transcriptional repertoire analyses identify neutrophil signature as candidate biomarker for lupus nephritis,Homo sapiens,Expression profiling by array
GSE72509,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,SLE lupus RNA-seq,Homo sapiens,Expression profiling by high throughput sequencing
GSE72747,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,"Global gene expression profiles in whole blood total RNA from patients with lupus nephritis, before and after initiation of therapy",Homo sapiens,Expression profiling by array
GSE72754,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,Down-regulation of Interferon signature in systemic lupus erythematosus patients by active immunization with Interferon alpha-Kinoid extended follow-up,Homo sapiens,Expression profiling by array
GSE80183,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,RNA-seq study reveals unique transcriptome expression in systemic lupus erythematosus patients with distinct autoantibody profile,Homo sapiens,Expression profiling by high throughput sequencing
GSE81622,included,纯表达芯片子系列；甲基化数据位于同一 SuperSeries 的另一子系列,Whole genome transcription and DNA methylation analysis of peripheral blood mononuclear cells identified aberrant gene regulation pathways in systemic lupus erythematosus [expression],Homo sapiens,Expression profiling by array
GSE82221,excluded,包含当前范围排除的数据类型（单细胞、甲基化等）,Whole genome transcription and DNA methylation analysis of peripheral blood mononuclear cells identified aberrant gene regulation pathways in systemic lupus erythematosus,Homo sapiens,Expression profiling by array; Methylation profiling by genome tiling array
GSE84654,excluded,技术类型不是 bulk RNA-seq 或 expression array,Comprehensive lncRNAs expression profiling reveals the potential role of lncRNAs in systemic lupus erythematosus [Human LncRNA Array v3.0],Homo sapiens,Non-coding RNA profiling by array
GSE88884,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,Gene expression changes in baseline SLE patients vs. healthy controls from two phase III trials (ILLUMINATE-1 and ILLUMINATE-2) of B cell activating factor blockade with tabalumab,Homo sapiens,Expression profiling by array
GSE88885,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,Pharmacodynamic-induced changes in SLE Patients from the ILLUMINATE-1 phase III trial of B cell activating factor blockade with tabalumab,Homo sapiens,Expression profiling by array
GSE88886,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,Pharmacodynamic-induced changes in SLE Patients from the ILLUMINATE-2 phase III trial of B cell activating factor blockade with tabalumab,Homo sapiens,Expression profiling by array
