accession,title,organism,technology,geo_study_type,gpl_accessions,sample_count,sample_count_confidence,score,score_reason,pss_relevance,tissue,case_control_hint,treatment_hint,clinical_info_hint,source_journals,source_journal_impact_factor,source_journal_impact_factor_year,gse_reuse_total_count,publication_date,last_update_date,url,search_date,notes
GSE173670,The transcriptomic profile of monocytes from patients with Sjögren’s Syndrome is associated with inflammatory parameters and is mimicked by circulating mediators,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL20301,pss=12; control=11; other/unclear=8; total=31,high,90,human; pss samples clear; controls clear; pss/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched primary Sjogren's Syndrome,blood; PBMC; B cell,yes,no,yes,Frontiers in immunology,7.0,2025,5,2021/05/19,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE173670,2026-06-25,auto-collected from GEO metadata
GSE173808,The transcriptome of paired major and minor salivary gland tissue in patients with primary Sjögren's syndrome,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL16791,pss=65; control=35; total=100,high,90,human; pss samples clear; controls clear; pss/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched primary Sjogren's Syndrome,salivary gland; blood; PBMC; B cell; T cell,yes,yes,yes,Frontiers in immunology,7.0,2025,12,2021/05/05,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE173808,2026-06-25,auto-collected from GEO metadata
GSE199868,Transcriptomic analysis of B cells from patients with Sjögren’s Syndrome,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL20301,pss=14; control=13; other/unclear=11; total=38,high,90,human; pss samples clear; controls clear; pss/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched primary Sjogren's Syndrome,blood; PBMC; B cell,yes,no,yes,,,,7,2022/12/14,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE199868,2026-06-25,auto-collected from GEO metadata
GSE200020,Deciphering the role of cDC2s in Sjogren’s Syndrome: transcriptomic profile reveals altered antigen processing and uptake associated with IFN-signatures and autoimmunity,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL18573; GPL20301,pss=23; control=18; other/unclear=15; total=56,high,90,human; pss samples clear; controls clear; pss/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched primary Sjogren's Syndrome,salivary gland; blood; PBMC; epithelial cell; B cell; T cell,yes,no,yes,Annals of the rheumatic diseases,24.0,2025,0,2022/12/14,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE200020,2026-06-25,auto-collected from GEO metadata
GSE208260,The transcriptome of paired major and minor salivary gland tissue in patients with primary Sjögren's syndrome,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL16791,pss=38; control=19; total=57,high,85,human; pss samples clear; controls clear; pss/control counts shown; total samples >=20; tissue/source clear,matched primary Sjogren's Syndrome,salivary gland; blood; PBMC; B cell; T cell,yes,yes,no,Frontiers in immunology,7.0,2025,2,2022/07/16,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE208260,2026-06-25,auto-collected from GEO metadata
GSE194234,RNA sequencing of primary Sjögren’s syndrome neutrophils,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL11154,pss=7; control=6; total=13,high,80,human; pss samples clear; controls clear; pss/control counts shown; clinical metadata mentioned; tissue/source clear,matched pSS in disease context,salivary gland,yes,yes,yes,Arthritis research & therapy,5.4,2025,1,2022/01/25,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE194234,2026-06-25,auto-collected from GEO metadata
GSE7451,Primary Sjogren's syndrome and control whole saliva,Homo sapiens,expression array,Expression profiling by array,GPL570,pss=10; control=10; total=20,high,80,human; pss samples clear; controls clear; pss/control counts shown; total samples >=20,matched primary Sjogren's Syndrome,,yes,no,no,Arthritis and rheumatism,,,17,2007/12/31,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE7451,2026-06-25,auto-collected from GEO metadata
GSE135635,"RNA-sequencing in plasmacytoid dendritic cells from patients with primary Sjogren's syndrome (pSS), non-Sjogren's sicca (nSS), and healthy donors (HC)",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL18573; GPL20301,pss=25; control=0; other/unclear=37; total=62,medium,75,human; pss samples clear; pss/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched primary Sjogren's Syndrome,blood; PBMC,yes,no,yes,Frontiers in immunology,7.0,2025,3,2019/09/11,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE135635,2026-06-25,auto-collected from GEO metadata; manual review needed for sample groups
GSE171896,CXCR2 may serve as a useful index of disease activity in interstitial lung disease associated with primary Sjögren’s syndrome,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL20301,pss=100; control=0; total=100,medium,75,human; pss samples clear; pss/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched pSS in disease context,salivary gland,yes,no,yes,Frontiers in molecular biosciences,4.4,2025,1,2021/06/02,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE171896,2026-06-25,auto-collected from GEO metadata; manual review needed for sample groups
GSE173635,"Transcriptome analysis of CCR9+, CXCR5+ and CCR9-CXCR5- Th cells in primary Sjögren's syndrome (pSS) patients and healthy controls (HC)",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL20301,pss=21; control=0; other/unclear=19; total=40,medium,75,human; pss samples clear; pss/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched pSS in disease context,blood; PBMC; T cell,yes,no,yes,Frontiers in immunology,7.0,2025,0,2021/07/26,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE173635,2026-06-25,auto-collected from GEO metadata; manual review needed for sample groups
