accession,title,summary,organism,technology,geo_study_type,gpl_accessions,gpl_titles,sample_count,sample_count_confidence,score,score_reason,ra_relevance,tissue,case_control_hint,treatment_hint,clinical_info_hint,processed_data_hint,publication_date,last_update_date,url,search_date,notes
GSE117769,White blood cells from rheumatoid arthritis patients and matched healthy donors,The experiment was designed to assess gene expression differences between rheumatoid arthritis patient and healthy donor white blood cells.,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL16791,,RA=51; control=50; other/unclear=19; total=120,high,100,human; RA samples clear; controls clear; RA/control counts shown; total samples >=20; processed data likely available; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,blood,yes,yes,yes,yes,2018/07/28,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE117769,2026-06-12,auto-collected from GEO metadata
GSE120178,Pharmacodynamic Biomarkers and Differential Effects of TNF- and GM-CSF-Targeting Biologics in Rheumatoid Arthritis,"A major unmet need in rheumatoid arthritis (RA) is the choice of treatment options for patients with an inadequate response to anti-TNF agents (anti-TNF–IR). In order to identify pharmacodynamic biomarkers and assess differential effects of TNF- and non–TNF-targeting agents on RA patients with an inadequate response to anti-TNF–IR in comparison with biologic-naïve patients, peripheral protein markers and gene expression levels in association with clinical response posttreatment in two disease strata were assessed in disease-modifying antirheumatic drug (DMARD)-IR and anti-TNF-IR patients. Serum proteomics results indicated the existence of specific pharmacodynamic markers for golimumab and mavrilimumab, regardless of prior anti-TNF treatment. In contrast, both antibodies induced early and sustained suppression of RA disease markers, including IL-6, CRP, IL2RA, and MMP1, in DMARD-IR patients. Golimumab-induced early changes rapidly returned toward baseline concentrations in anti-TNF–IR patients, whereas mavrilimumab-induced changes were maintained through Day 169. RNA sequencing demonstrated gene expression changes at Day 169 after administration of mavrilimumab but not golimumab in anti-TNF–IR patients. Additionally, receiver operating characteristic curve and regression analysis showed the association of early IL-6 change and subsequent clinical responses to golimumab in anti-TNF-IR patients. Our results revealed golimumab- and mavrilimumab-specific pharmacodynamic biomarkers, and demonstrated differential biomarker-treatment relationships in anti-TNF–IR and DMARD-IR patients respectively. Early IL-6 change after anti-TNF antibody treatment may be a potential predictive biomarker for selection of different treatment regimens in anti-TNF-IR patients.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL16791,,RA=127; control=20; total=147,high,100,human; RA samples clear; controls clear; RA/control counts shown; total samples >=20; processed data likely available; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,blood,yes,yes,yes,yes,2019/06/13,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE120178,2026-06-12,auto-collected from GEO metadata
GSE282218,WBT-DC Pipeline: Whole Blood Transcriptomics data-based Disease Classification,"Machine learning together with cell/tissue transcriptomics data has been widely used for disease classification. However, obtaining transcriptomics data for human tissues require invasive procedures, making it challenging for widespread application in the clinic. In this study, we developed the WBT-DC (Whole Blood Transcriptomics (WBT) data based Disease Classification). We utilized gene rank-based methods for feature extraction to mitigate issues associated with batch effects and gene noise. We applied the ensemble machine learning model, Random Forest, and performed cross-validation and model tuning. We evaluated our methods on four different diseases including crohn's disease (CD), ulcerative colitis (UC) and amyotrophic lateral sclerosis (ALS) and rheumatoid arthritis (RA) datasets, using data from seven independent cohorts and 2,452 participants, across RNA-Sequencing and microarrays. Our machine learning based WBT-DC pipeline demonstrated a robust performance across various disease datasets and different transcriptomics platforms, establishing itself as a valuable non-invasive tool for future disease classification and prediction.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,,RA=61; control=104; total=165,high,100,human; RA samples clear; controls clear; RA/control counts shown; total samples >=20; processed data likely available; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,blood,yes,no,yes,yes,2026/05/20,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE282218,2026-06-12,auto-collected from GEO metadata
GSE294225,Transcriptional profiles are dramatically altered in circulating CD14+ monocytes in Rheumatoid Arthritis [RNA-seq],"Peripheral blood samples were collected from healthy controls and rheumatoid arthritis patients (active disease: DAS28 > 2.7), subsequently CD14+ monocytes were isolated using a positive selection kit, RNA was extracted and RNA-Seq was completed.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,,RA=9; control=15; total=24,high,100,human; RA samples clear; controls clear; RA/control counts shown; total samples >=20; processed data likely available; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,blood; PBMC; monocyte,yes,no,yes,yes,2025/04/10,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294225,2026-06-12,auto-collected from GEO metadata
GSE328878,Transcriptomic comparison of RA vs healthy monocytes undergoing different ex vivo activation conditions,"Rheumatoid arthritis (RA) monocytes are primed for inflammatory activation, but their disease-intrinsic molecular features have not been systematically profiled across omics layers. We aimed to define RA-associated alterations in primary human monocytes using an integrated multi-omics approach under controlled differentiation and stimulation conditions. Transcriptomics data showed upregulation of inflammatory and interferon-related programs but downregulation of translation- and mitochondrial matrix-associated gene sets in RA monocytes. Constraint-based metabolic modeling using transcript abundances as proxies for enzyme activities showed widespread downregulation of glycosylation-related metabolic fluxes.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,,RA=36; control=36; total=72,high,100,human; RA samples clear; controls clear; RA/control counts shown; total samples >=20; processed data likely available; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,blood; PBMC; macrophage; monocyte,yes,yes,yes,yes,2026/04/28,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE328878,2026-06-12,auto-collected from GEO metadata
GSE68689,Gene expression from the whole blood of rheumatoid arthritis patients and normal controls.,"21 samples were collected from 15 RA and control patients with matched microarray and RNA-seq data. The data was collected to examine the effects of RNA-seq data normalization, read number, and the use of gene sets with the aim of determining the effect of these factors on correlation to microarrays and predictive performance of multivariate models. DAS28 scores are provided for RA patients.",Homo sapiens,expression array,Expression profiling by array,GPL20171,,RA=16; control=5; total=21,high,100,human; RA samples clear; controls clear; RA/control counts shown; total samples >=20; processed data likely available; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,blood,yes,yes,yes,yes,2018/05/01,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE68689,2026-06-12,auto-collected from GEO metadata
GSE93776,Immune cells gene expression from rheumatoid arthritis and healthy donors,"Sustained clinical remission (CR) without drug treatment has not been achieved in patients with rheumatoid arthritis (RA). This implies a substantial difference between CR and the healthy state, but it has yet to be quantified. We report a longitudinal monitoring of the drug response at multi-omics levels in the peripheral blood of patients with RA. Our data reveal that drug treatments alter the molecular profile closer to that of HCs at the transcriptome, serum proteome and immunophenotype level. Patient follow-up suggests that the molecular profile after drug treatments is associated with long-term stable CR. In addition, we identify molecular signatures that are resistant to drug treatments. These signatures are associated with RA independently of known disease severity indexes and are largely explained by the imbalance of neutrophils, monocytes, and lymphocytes. This high-dimensional phenotyping provides a quantitative measure of molecular remission and illustrates a multi-omics approach to understanding drug response.",Homo sapiens,expression array,Expression profiling by array,GPL570,,RA=83; control=90; total=173,high,100,human; RA samples clear; controls clear; RA/control counts shown; total samples >=20; processed data likely available; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,blood; monocyte; T cell,yes,yes,yes,yes,2018/07/16,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE93776,2026-06-12,auto-collected from GEO metadata
GSE110999,"RNA sequencing of B cell subsets (CD11c hi IgD+ B cells, CD11c hi IgD- B cells, Memory B cells and Naïve B cells) from healthy subjects and subjects with Systemic lupus erythematosus (SLE) or Rheumatoid arthritis (RA)",CD11c+ B cells (IgD+ and IgD-) are pathogenic B cells expanded in autoimmune disease. The purpose of this study is to identify the pathways unique to IgD+ CD11c B cells and IgD- CD11c B cells.,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL11154,,RA=16; control=16; other/unclear=16; total=48,high,95,human; RA samples clear; controls clear; RA/control counts shown; total samples >=20; processed data likely available; tissue/source clear,matched rheumatoid arthritis,blood; B cell,yes,no,no,yes,2018/02/23,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE110999,2026-06-12,auto-collected from GEO metadata
GSE116899,Synovial fluid and blood neutrophils from rheumatoid arthritis patients and matched healthy controls,Synovial fluid and blood neutrophils from 7 rheumatoid arthritis patients and 5 matched healthy controls,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL11154,,RA=20; control=10; total=30,high,95,human; RA samples clear; controls clear; RA/control counts shown; total samples >=20; processed data likely available; tissue/source clear,matched rheumatoid arthritis,blood,yes,yes,no,yes,2018/07/11,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE116899,2026-06-12,auto-collected from GEO metadata
GSE118829,Gene expressions of T cells in each developmental stages in healthy volunteers and patients with rheumatoid arthritis,"We collected and compared samples from the cohort consisted of six groups as follows: methotrexate (MTX) monotherapy, combination therapy of MTX and infliximab (IFX), tocilizumab (TCZ) monotherapy, age- and gender-matched HC, and a small number of synovial fluid samples. In order to reduce variation due to the proportion of cells at each developmental stage, we performed transcriptome analysis after sorting CD4+ and CD8+ T cells according to developmental stage. We created a gene list that was significantly expressed in RA T cells, and revealed that pathways such as mTORC1, IL-2-stat5, Cell cycle and interferon-related genes were significantly enriched among them.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL17303,,RA=181; control=69; total=250,high,95,human; RA samples clear; controls clear; RA/control counts shown; total samples >=20; processed data likely available; tissue/source clear,matched rheumatoid arthritis,blood; T cell,yes,yes,no,yes,2019/06/06,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE118829,2026-06-12,auto-collected from GEO metadata
