accession,title,organism,technology,geo_study_type,gpl_accessions,sample_count,sample_count_confidence,score,score_reason,sle_relevance,tissue,case_control_hint,treatment_hint,clinical_info_hint,source_journals,source_journal_impact_factor,source_journal_impact_factor_year,gse_reuse_total_count,publication_date,last_update_date,url,search_date,notes
GSE293224,RNAseq analysis of human neutrophils from healthy controls and from people with systemic lupus eruthematosus,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL28038,SLE=17; control=18; total=35,high,85,human; SLE samples clear; controls clear; SLE/control counts shown; total samples >=20; tissue/source clear,matched SLE in disease context,blood; neutrophil,yes,yes,no,Clinical and experimental immunology,3.9,2025,0,2025/12/15,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE293224,2026-06-25,auto-collected from GEO metadata
GSE239576,Comparison of Renal Transcriptome Profiles in Patients with Active Lupus Nephritis Reveals Possible New Mechanisms of Disease Progression,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL28038,SLE=21; control=0; total=21,medium,75,human; SLE samples clear; SLE/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched Systemic Lupus Erythematosus,kidney,yes,no,yes,,,,0,2025/12/31,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE239576,2026-06-25,auto-collected from GEO metadata; manual review needed for sample groups
GSE279728,The X-linked chromatin modifier SMC1A is deregulated in lupus female monocytes and promotes autoimmunity [RNA-Seq],Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL18573; GPL20301; GPL24676,SLE=34; control=0; other/unclear=27; total=61,medium,75,human; SLE samples clear; SLE/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched Systemic Lupus Erythematosus,blood; monocyte,yes,yes,yes,Nature communications,18.1,2025,0,2025/09/01,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE279728,2026-06-25,auto-collected from GEO metadata; manual review needed for sample groups
GSE318067,"Analysis of peripheral blood transcript and protein expression across adult systemic lupus erythematosus (SLE) and adult dermatomyositis (DM) patients, each compared to respective healthy matched control subjects.",Homo sapiens,expression array,Expression profiling by array,GPL570,SLE=80; control=0; total=80,medium,75,human; SLE samples clear; SLE/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched Systemic Lupus Erythematosus,blood,yes,yes,yes,ACR open rheumatology,2.9,2025,0,2026/02/06,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE318067,2026-06-25,auto-collected from GEO metadata; manual review needed for sample groups
GSE318618,Multi-omic analysis reveals molecular subtypes with distinct immunological phenotypes in SLE,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL36272,SLE=80; control=0; total=80,medium,75,human; SLE samples clear; SLE/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched Systemic Lupus Erythematosus,blood,yes,no,yes,Frontiers in immunology,7.0,2025,0,2026/05/01,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE318618,2026-06-25,auto-collected from GEO metadata; manual review needed for sample groups
GSE319130,Multi-omic analysis reveals molecular subtypes with distinct immunological phenotypes in SLE [RNA-Seq],Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,SLE=80; control=0; total=80,medium,75,human; SLE samples clear; SLE/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched Systemic Lupus Erythematosus,blood,yes,no,yes,Frontiers in immunology,7.0,2025,0,2026/05/01,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE319130,2026-06-25,auto-collected from GEO metadata; manual review needed for sample groups
GSE334206,STK25 m6A modification regulates CD4+ T cell glycolysis mediated immune imbalance in systemic lupus erythematosus,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,SLE=10; control=0; other/unclear=10; total=20,medium,75,human; SLE samples clear; SLE/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched Systemic Lupus Erythematosus,blood; PBMC; T cell,yes,yes,yes,,,,0,2026/06/04,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE334206,2026-06-25,auto-collected from GEO metadata; manual review needed for sample groups
GSE240218,Serological type I interferon promotes AIM2 inflammasome dysregulation in lupus patients,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,SLE=12; control=0; total=12,medium,65,human; SLE samples clear; SLE/control counts shown; clinical metadata mentioned; tissue/source clear,matched SLE in disease context,blood; monocyte,yes,yes,yes,"Rheumatology (Oxford, England)",4.4,2024-2025,0,2026/02/24,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE240218,2026-06-25,auto-collected from GEO metadata; manual review needed for sample groups
GSE296560,"Lupus nephritis serum induces changes in gene expression in human glomerular endothelial cells, which is modulated by L-sepiapterin: Implications for redox-mediated endothelial dysfunction",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,SLE=19; control=0; total=19,medium,65,human; SLE samples clear; SLE/control counts shown; clinical metadata mentioned; tissue/source clear,matched Lupus Nephritis,kidney,yes,yes,yes,Lupus science & medicine,4.2,2025,0,2025/06/18,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE296560,2026-06-25,auto-collected from GEO metadata; manual review needed for sample groups
GSE288271,Endogenous retroviruses promote aberrant T cell differentiation in systemic lupus erythematosus via the RIG-I pathway [whole transcriptomics],Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,SLE=10; control=0; total=10,medium,60,human; SLE samples clear; SLE/control counts shown; tissue/source clear,matched Systemic Lupus Erythematosus,PBMC; T cell,yes,yes,no,EBioMedicine,11.2,2025,0,2025/11/18,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE288271,2026-06-25,auto-collected from GEO metadata; manual review needed for sample groups
