accession,title,organism,technology,geo_study_type,gpl_accessions,sample_count,sample_count_confidence,score,score_reason,as_relevance,tissue,case_control_hint,treatment_hint,clinical_info_hint,source_journals,source_journal_impact_factor,source_journal_impact_factor_year,gse_reuse_total_count,publication_date,last_update_date,url,search_date,manual_review,notes
GSE25101,Expression profiling in whole blood in ankylosing spondylitis patients and controls,Homo sapiens,expression array,Expression profiling by array,GPL6947,AS=16; control=16; total=32,high,90,human; AS samples clear; controls clear; AS/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched Ankylosing Spondylitis,blood; PBMC,yes,no,yes,Arthritis research & therapy,5.4,2025,85,2010/11/04,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE25101,2026-06-25,NULL,auto-collected from GEO metadata
GSE73754,Sexual Dimorphism in the Th17 Signature of Ankylosing Spondylitis,Homo sapiens,expression array,Expression profiling by array,GPL10558,AS=52; control=20; total=72,high,85,human; AS samples clear; controls clear; AS/control counts shown; total samples >=20; tissue/source clear,matched Ankylosing Spondylitis,blood,yes,no,no,"Arthritis & rheumatology (Hoboken, N.J.)",10.9,2024,92,2015/10/07,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73754,2026-06-25,NULL,auto-collected from GEO metadata
GSE181364,The potential mechanism of ankylosing spondylitis,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,AS=5; control=3; total=8,high,80,human; AS samples clear; controls clear; AS/control counts shown; clinical metadata mentioned; tissue/source clear,matched Ankylosing Spondylitis,blood,yes,yes,yes,Frontiers in molecular biosciences,4.4,2025,9,2021/11/10,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE181364,2026-06-25,NULL,auto-collected from GEO metadata
GSE153310,Single-nucleotide-polymorphism-adjacent super enhancer network mediates enhanced osteogenic differentiation of mesenchymal stem cells in ankylosing spondylitis [RNA-seq],Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL23227,AS=3; control=3; total=6,high,75,human; AS samples clear; controls clear; AS/control counts shown; tissue/source clear,matched Ankylosing Spondylitis,mesenchymal stem cell,yes,no,no,Human molecular genetics,3.1,2025,1,2021/02/21,2021/02/22,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE153310,2026-07-11,NULL,auto-collected from GEO metadata; candidate-list import verified against GEO metadata; GEO Series is RNA-seq; ChIP-seq is mentioned only as a companion analysis in the multi-omics study
GSE212613,Aberrant lncRNA–mRNA Expression Profile and Function Networks during the Adipogenesis of Mesenchymal Stem Cells from Patients with Ankylosing Spondylitis,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL21290,AS=3; control=3; total=6,high,75,human; AS samples clear; controls clear; AS/control counts shown; tissue/source clear,matched Ankylosing Spondylitis,bone marrow,yes,yes,no,Frontiers in genetics,3.0,2025,0,2022/09/29,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE212613,2026-06-25,NULL,auto-collected from GEO metadata
GSE186063,Multi-omics profiling reveals the interactions of host defense and hyper-keratinization in psoriasis,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,AS=12; control=0; other/unclear=54; total=66,medium,70,human; AS samples clear; AS/control counts shown; total samples >=20; clinical metadata mentioned,matched Ankylosing Spondylitis,,yes,yes,yes,Clinical and translational medicine,7.9,2025,7,2022/12/28,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE186063,2026-06-25,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE205812,RNA Sequencing and Bioinformatics Analysis of Differentially Expressed Genes in the Peripheral Serum of Ankylosing Spondylitis patients,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,AS=3; control=3; total=6,high,70,human; AS samples clear; controls clear; AS/control counts shown,matched Ankylosing Spondylitis,,yes,no,no,Journal of orthopaedic surgery and research; BMC musculoskeletal disorders,3.8,2025,3,2022/10/16,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE205812,2026-06-25,NULL,auto-collected from GEO metadata
GSE221786,Differentially Expressed Genes in Males and Females with Ankylosing Spondylitis (AS): Discrete Effectors in IL-17-producing Cells of Patients with AS.,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,AS=20; control=0; other/unclear=8; total=28,medium,70,human; AS samples clear; AS/control counts shown; total samples >=20; tissue/source clear,matched Ankylosing Spondylitis,blood; PBMC,yes,yes,no,,,,9,2023/01/02,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE221786,2026-06-25,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE39340,Indentification of special gene expressions in synovial tissues of rheumatoid arthritis,Homo sapiens,expression array,Expression profiling by array,GPL10558,AS=5; control=0; other/unclear=17; total=22,medium,70,human; AS samples clear; AS/control counts shown; total samples >=20; tissue/source clear,matched Ankylosing Spondylitis,synovium,no,no,no,,,,15,2012/10/22,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE39340,2026-06-25,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE134290,Expression data of mesenchymal stem cells (MSCs) obtained from spinal entheseal tissues in groups of control and patient with ankylosing spondylitis (AS),Homo sapiens,expression array,Expression profiling by array,GPL570,AS=3; control=0; other/unclear=3; total=6,medium,65,human; AS samples clear; AS/control counts shown; clinical metadata mentioned; tissue/source clear,matched Ankylosing Spondylitis,enthesis,yes,yes,yes,,,,6,2022/07/15,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE134290,2026-06-25,NULL,auto-collected from GEO metadata; manual review needed for sample groups
