accession,title,organism,technology,geo_study_type,gpl_accessions,sample_count,sample_count_confidence,score,score_reason,ra_relevance,tissue,case_control_hint,treatment_hint,clinical_info_hint,source_journals,source_journal_impact_factor,source_journal_impact_factor_year,gse_reuse_total_count,publication_date,last_update_date,url,search_date,manual_review,notes
GSE117769,White blood cells from rheumatoid arthritis patients and matched healthy donors,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL16791,RA=51; control=50; other/unclear=19; total=120,high,90,human; RA samples clear; controls clear; RA/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,blood,yes,yes,yes,,,,8,2018/07/28,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE117769,2026-06-12,NULL,auto-collected from GEO metadata
GSE120178,Pharmacodynamic Biomarkers and Differential Effects of TNF- and GM-CSF-Targeting Biologics in Rheumatoid Arthritis,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL16791,RA=127; control=20; total=147,high,90,human; RA samples clear; controls clear; RA/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,blood,yes,yes,yes,International journal of rheumatic diseases,2.0,2025,3,2019/06/13,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE120178,2026-06-12,NULL,auto-collected from GEO metadata
GSE282218,WBT-DC Pipeline: Whole Blood Transcriptomics data-based Disease Classification,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,RA=61; control=104; total=165,high,90,human; RA samples clear; controls clear; RA/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,blood,yes,no,yes,Journal of translational medicine,9.7,2025,0,2026/05/20,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE282218,2026-06-12,NULL,auto-collected from GEO metadata
GSE294225,Transcriptional profiles are dramatically altered in circulating CD14+ monocytes in Rheumatoid Arthritis [RNA-seq],Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,RA=9; control=15; total=24,high,90,human; RA samples clear; controls clear; RA/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,blood; PBMC; monocyte,yes,no,yes,Annals of the rheumatic diseases,24.0,2025,1,2025/04/10,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294225,2026-06-12,NULL,auto-collected from GEO metadata
GSE328878,Transcriptomic comparison of RA vs healthy monocytes undergoing different ex vivo activation conditions,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,RA=36; control=36; total=72,high,90,human; RA samples clear; controls clear; RA/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,blood; PBMC; macrophage; monocyte,yes,yes,yes,,,,0,2026/04/28,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE328878,2026-06-12,NULL,auto-collected from GEO metadata
GSE68689,Gene expression from the whole blood of rheumatoid arthritis patients and normal controls.,Homo sapiens,expression array,Expression profiling by array,GPL20171,RA=16; control=5; total=21,high,90,human; RA samples clear; controls clear; RA/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,blood,yes,yes,yes,,,,7,2018/05/01,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE68689,2026-06-12,NULL,auto-collected from GEO metadata
GSE93776,Immune cells gene expression from rheumatoid arthritis and healthy donors,Homo sapiens,expression array,Expression profiling by array,GPL570,RA=83; control=90; total=173,high,90,human; RA samples clear; controls clear; RA/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,blood; monocyte; T cell,yes,yes,yes,Nature communications,18.1,2025,12,2018/07/16,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE93776,2026-06-12,NULL,auto-collected from GEO metadata
GSE110999,"RNA sequencing of B cell subsets (CD11c hi IgD+ B cells, CD11c hi IgD- B cells, Memory B cells and Naïve B cells) from healthy subjects and subjects with Systemic lupus erythematosus (SLE) or Rheumatoid arthritis (RA)",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL11154,RA=16; control=16; other/unclear=16; total=48,high,85,human; RA samples clear; controls clear; RA/control counts shown; total samples >=20; tissue/source clear,matched rheumatoid arthritis,blood; B cell,yes,no,no,Nature communications,18.1,2025,9,2018/02/23,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE110999,2026-06-12,NULL,auto-collected from GEO metadata
GSE116899,Synovial fluid and blood neutrophils from rheumatoid arthritis patients and matched healthy controls,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL11154,RA=20; control=10; total=30,high,85,human; RA samples clear; controls clear; RA/control counts shown; total samples >=20; tissue/source clear,matched rheumatoid arthritis,blood,yes,yes,no,,,,2,2018/07/11,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE116899,2026-06-12,NULL,auto-collected from GEO metadata
GSE118829,Gene expressions of T cells in each developmental stages in healthy volunteers and patients with rheumatoid arthritis,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL17303,RA=181; control=69; total=250,high,85,human; RA samples clear; controls clear; RA/control counts shown; total samples >=20; tissue/source clear,matched rheumatoid arthritis,blood; T cell,yes,yes,no,Annals of the rheumatic diseases; Scientific reports,24.0,2025,6,2019/06/06,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE118829,2026-06-12,NULL,auto-collected from GEO metadata
