accession,title,organism,technology,geo_study_type,gpl_accessions,sample_count,sample_count_confidence,score,score_reason,sle_relevance,tissue,case_control_hint,treatment_hint,clinical_info_hint,source_journals,source_journal_impact_factor,source_journal_impact_factor_year,gse_reuse_total_count,publication_date,last_update_date,url,search_date,manual_review,notes
GSE81622,Whole genome transcription and DNA methylation analysis of peripheral blood mononuclear cells identified aberrant gene regulation pathways in systemic lupus erythematosus [expression],Homo sapiens,expression array,Expression profiling by array,GPL10558,SLE=30; control=25; total=55,high,90,human; SLE samples clear; controls clear; SLE/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched Systemic Lupus Erythematosus,blood; PBMC,yes,no,yes,Arthritis research & therapy,5.4,2025,72,2016/06/01,Apr 02 2020,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE81622,2026-07-11,NULL,auto-collected from GEO metadata; imported from sle_geo_gse_accessions.csv after GEO verification; manual inclusion override: expression-only array SubSeries; methylation data are in a separate SubSeries
GSE293224,RNAseq analysis of human neutrophils from healthy controls and from people with systemic lupus eruthematosus,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL28038,SLE=17; control=18; total=35,high,85,human; SLE samples clear; controls clear; SLE/control counts shown; total samples >=20; tissue/source clear,matched SLE in disease context,blood; neutrophil,yes,yes,no,Clinical and experimental immunology,3.9,2025,0,2025/12/15,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE293224,2026-06-25,NULL,auto-collected from GEO metadata
GSE309422,RNAseq analysis of human neutrophil mRNA from adults with SLE and age-matched healthy controls,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL34284,SLE=11; control=10; total=21,high,85,human; SLE samples clear; controls clear; SLE/control counts shown; total samples >=20; tissue/source clear,matched Systemic Lupus Erythematosus,blood; neutrophil,yes,yes,no,,,,0,2026/07/16,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE309422,2026-08-01,NULL,auto-collected from GEO metadata
GSE162828,Novel LncRNA and mRNA expression profiles of peripheral blood mononuclear cells in patients with systemic lupus erythematosus and healthy controls,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,SLE=5; control=5; total=10,high,80,human; SLE samples clear; controls clear; SLE/control counts shown; clinical metadata mentioned; tissue/source clear,matched Systemic Lupus Erythematosus,blood; PBMC,yes,yes,yes,Frontiers in cell and developmental biology,5.3,2025,5,2021/01/06,Dec 28 2022,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE162828,2026-07-11,NULL,auto-collected from GEO metadata; imported from sle_geo_gse_accessions.csv after GEO verification
GSE112943,Genome-wide analysis of gene expression of cutaneous lupus skin samples and lupus nephritis kidney samples,Homo sapiens,expression array,Expression profiling by array,GPL10558,SLE=14; control=0; other/unclear=33; total=47,medium,75,human; SLE samples clear; SLE/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched Lupus Nephritis,kidney,yes,no,yes,The Journal of investigative dermatology,5.7,2024,47,2021/04/22,Sep 20 2021,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE112943,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE11907,A Modular Analysis Framework for Blood Genomics Studies: Application to Systemic Lupus Erythematosus,Homo sapiens,expression array,Expression profiling by array,GPL96; GPL97,SLE=6; control=0; other/unclear=540; total=546,medium,75,human; SLE samples clear; SLE/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched Systemic Lupus Erythematosus,blood; PBMC,no,yes,yes,Immunity,30.6,2025,17,2008/08/11,Aug 10 2018,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE11907,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE120442,Multiplexed enrichment and genomic profiling of peripheral blood cells reveal subset-specific immune signatures,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL21697,SLE=40; control=0; other/unclear=88; total=128,medium,75,human; SLE samples clear; SLE/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched Systemic Lupus Erythematosus,blood; PBMC; T cell,yes,yes,yes,Science advances,13.9,2025,1,2019/03/31,May 15 2019,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE120442,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE144390,Expression profiling of PBMCs from patients with systemic lupus erythematosus,Homo sapiens,expression array,Expression profiling by array,GPL6244,SLE=3; control=3; total=6,high,75,human; SLE samples clear; controls clear; SLE/control counts shown; tissue/source clear,matched Systemic Lupus Erythematosus,blood; PBMC,yes,no,no,,,,6,2020/01/29,Feb 01 2020,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE144390,2026-07-11,NULL,auto-collected from GEO metadata; imported from sle_geo_gse_accessions.csv after GEO verification
GSE185047,IFN-α kinoid in systemic lupus erythematosus: Affymetrix Data,Homo sapiens,expression array,Expression profiling by array,GPL570,SLE=694; control=0; other/unclear=10; total=704,medium,75,human; SLE samples clear; SLE/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched Systemic Lupus Erythematosus,blood,yes,yes,yes,Annals of the rheumatic diseases,24.0,2025,10,2021/10/08,Oct 08 2021,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE185047,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE239576,Comparison of Renal Transcriptome Profiles in Patients with Active Lupus Nephritis Reveals Possible New Mechanisms of Disease Progression,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL28038,SLE=21; control=0; total=21,medium,75,human; SLE samples clear; SLE/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched Systemic Lupus Erythematosus,kidney,yes,no,yes,,,,0,2025/12/31,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE239576,2026-06-25,NULL,auto-collected from GEO metadata; manual review needed for sample groups
